housing_type,price,size,price_per_sq,rooms,neighbourhood,website,date,lon,lat
mieszkanie,550000,21.73,25310.63,1,Mokotów,Domiporta,4/11/2023,21.0457809,52.1939874
mieszkanie,1555000,85.0,18294.12,3,Mokotów,Domiporta,4/11/2023,21.0457809,52.1939874
mieszkanie,1950000,79.12,24646.11,4,Mokotów,Domiporta,4/11/2023,21.0457809,52.1939874
kawalerka,550000,21.0,25311.0,1,Mokotów,Morizon,4/11/2023,21.0457809,52.1939874
mieszkanie,590000,30.5,19344.26,1,Mokotów,Domiporta,7/11/2023,21.0457809,52.1939874
mieszkanie,678600,39.0,17400.0,2,Mokotów,Domiporta,7/11/2023,21.0457809,52.1939874
mieszkanie,1490000,88.0,16931.82,3,Mokotów,Domiporta,8/11/2023,21.0457809,52.1939874
mieszkanie,1100000,56.7,19400.35,2,Mokotów,Domiporta,8/11/2023,21.0457809,52.1939874
mieszkanie,2716000,170.0,15976.47,5,Mokotów,Domiporta,8/11/2023,21.0457809,52.1939874
mieszkanie,1640400,80.72,20322.1,4,Mokotów,Domiporta,8/11/2023,21.0457809,52.1939874
mieszkanie,1140000,54.36,20971.3,1,Mokotów,Domiporta,8/11/2023,21.0457809,52.1939874
mieszkanie,976320,36.42,26807.25,1,Mokotów,Domiporta,8/11/2023,21.0457809,52.1939874
mieszkanie,2599120,66.78,38920.63,3,Mokotów,Domiporta,8/11/2023,21.0457809,52.1939874
mieszkanie,1741950,83.89,20764.69,4,Mokotów,Domiporta,8/11/2023,21.0457809,52.1939874
mieszkanie,785000,49.0,16020.41,2,Mokotów,Domiporta,8/11/2023,21.0457809,52.1939874
