housing_type,price,size,price_per_sq,rooms,neighbourhood,website,date
mieszkanie,4780000,186.0,25698.92,4,Żoliborz,Domiporta,6/11/2023
mieszkanie,644000,46.0,13849.0,3,Praga-Południe,Morizon,6/11/2023
mieszkanie,649000,52.0,12266.0,3,Ursynów,Morizon,6/11/2023
mieszkanie,1049000,79.0,13228.0,4,Praga-Południe,Morizon,6/11/2023
mieszkanie,1020000,53.0,19065.0,3,Służewiec,Morizon,6/11/2023
mieszkanie,670000,42.0,15952.0,2,Nowolipki,Morizon,6/11/2023
mieszkanie,839000,64.0,12928.0,3,Ursynów,Morizon,6/11/2023
mieszkanie,680000,62.0,10932.0,4,Niedźwiadek,Morizon,6/11/2023
mieszkanie,1100000,77.0,14286.0,3,Targówek,Morizon,6/11/2023
kawalerka,550000,21.0,25311.0,1,Mokotów,Morizon,6/11/2023
mieszkanie,1299000,66.0,19537.0,3,Wilanów,Morizon,6/11/2023
mieszkanie,840000,56.0,14947.0,3,Mokotów,Morizon,6/11/2023
mieszkanie,2750000,109.0,25091.0,3,Żoliborz,Morizon,6/11/2023
mieszkanie,3000000,135.0,22222.0,5,Mokotów,Morizon,6/11/2023
mieszkanie,1120000,81.0,13803.0,4,Włochy,Morizon,6/11/2023
mieszkanie,1300000,77.0,16740.0,4,Ochota,Morizon,6/11/2023
mieszkanie,880000,50.0,17485.0,2,Muranów,Morizon,6/11/2023
mieszkanie,2000000,104.0,19231.0,5,Wilanów,Morizon,6/11/2023
mieszkanie,1250000,47.0,26596.0,2,Śródmieście,Morizon,6/11/2023
mieszkanie,675000,40.0,16646.0,2,Wola,Morizon,6/11/2023
mieszkanie,1971156,106.0,18575.0,5,Ochota,Morizon,6/11/2023
mieszkanie,1650000,61.0,26829.0,2,Śródmieście,Morizon,6/11/2023
mieszkanie,468000,32.0,14625.0,2,Nowodwory,Morizon,6/11/2023
mieszkanie,1385000,68.0,20367.65,4,Śródmieście,Domiporta,7/11/2023
mieszkanie,1760000,91.0,19340.66,4,Wilanów,Domiporta,7/11/2023
mieszkanie,698105,32.47,21500.0,2,Praga,Domiporta,7/11/2023
mieszkanie,997000,45.4,21960.35,2,Wilanów,Domiporta,7/11/2023
mieszkanie,197000,20.99,9385.42,1,Żbików,Domiporta,7/11/2023
mieszkanie,735000,49.0,15000.0,3,Żoliborz,Domiporta,7/11/2023
mieszkanie,575000,37.5,15333.33,2,Mokotów,Domiporta,7/11/2023
mieszkanie,669900,41.0,16339.02,2,Targówek,Domiporta,7/11/2023
mieszkanie,690000,38.0,18157.89,1,Mokotów,Domiporta,7/11/2023
mieszkanie,748000,64.0,11687.5,3,Bemowo,Domiporta,7/11/2023
mieszkanie,1014000,63.38,15998.74,3,Wola,Domiporta,7/11/2023
mieszkanie,990000,58.73,16856.8,2,Bemowo,Domiporta,7/11/2023
mieszkanie,770000,46.08,16710.07,2,Wola,Domiporta,7/11/2023
mieszkanie,590000,30.5,19344.26,1,Mokotów,Domiporta,7/11/2023
mieszkanie,615000,42.0,14642.86,2,Ursynów,Domiporta,7/11/2023
mieszkanie,680000,48.0,14166.67,3,Ochota,Domiporta,7/11/2023
mieszkanie,750000,53.0,14150.94,3,Bielany,Domiporta,7/11/2023
mieszkanie,1300000,86.0,15116.28,3,Bemowo,Domiporta,7/11/2023
mieszkanie,990000,36.0,27500.0,1,Śródmieście,Domiporta,7/11/2023
mieszkanie,1050000,64.0,16406.25,2,Śródmieście,Domiporta,7/11/2023
mieszkanie,1590000,74.0,21486.49,2,Mokotów,Domiporta,7/11/2023
mieszkanie,593975,51.65,11500.0,2,Białołęka,Domiporta,7/11/2023
mieszkanie,850000,59.5,14285.71,2,Mokotów,Domiporta,7/11/2023
mieszkanie,799997,40.0,19999.92,2,Żoliborz,Domiporta,7/11/2023
mieszkanie,1200000,75.0,16000.0,3,Żoliborz,Domiporta,7/11/2023
mieszkanie,678600,39.0,17400.0,2,Mokotów,Domiporta,7/11/2023
mieszkanie,899000,40.25,22335.4,2,Śródmieście,Domiporta,7/11/2023
mieszkanie,869000,41.0,21195.12,2,Wola,Domiporta,7/11/2023
mieszkanie,630000,38.0,16578.95,2,Żoliborz,Domiporta,7/11/2023
mieszkanie,1420000,64.0,22187.5,2,Mokotów,Domiporta,7/11/2023
mieszkanie,949000,43.0,22069.77,2,Żoliborz,Domiporta,7/11/2023
mieszkanie,1015000,70.0,14500.0,3,Wesoła,Domiporta,7/11/2023
mieszkanie,720000,38.62,18643.19,2,Wola,Domiporta,7/11/2023
mieszkanie,870000,30.0,29000.0,1,Śródmieście,Domiporta,7/11/2023
mieszkanie,499000,24.0,20791.67,1,Śródmieście,Domiporta,7/11/2023
mieszkanie,996000,40.0,24900.0,2,Mokotów,Domiporta,7/11/2023
mieszkanie,1385000,68.0,20367.65,4,Śródmieście,Domiporta,7/11/2023
mieszkanie,1760000,91.0,19340.66,4,Wilanów,Domiporta,7/11/2023
mieszkanie,698105,32.47,21500.0,2,Praga,Domiporta,7/11/2023
mieszkanie,997000,45.4,21960.35,2,Wilanów,Domiporta,7/11/2023
mieszkanie,197000,20.99,9385.42,1,Żbików,Domiporta,7/11/2023
mieszkanie,2480000,108.0,22963.0,4,Stary Mokotów,Morizon,7/11/2023
mieszkanie,644000,46.0,13849.0,3,Praga-Południe,Morizon,7/11/2023
mieszkanie,649000,52.0,12266.0,3,Ursynów,Morizon,7/11/2023
mieszkanie,1049000,79.0,13228.0,4,Praga-Południe,Morizon,7/11/2023
mieszkanie,1020000,53.0,19065.0,3,Służewiec,Morizon,7/11/2023
mieszkanie,670000,42.0,15952.0,2,Nowolipki,Morizon,7/11/2023
mieszkanie,839000,64.0,12928.0,3,Ursynów,Morizon,7/11/2023
mieszkanie,840000,56.0,14947.0,3,Mokotów,Morizon,7/11/2023
kawalerka,550000,21.0,25311.0,1,Mokotów,Morizon,7/11/2023
mieszkanie,680000,62.0,10932.0,4,Niedźwiadek,Morizon,7/11/2023
mieszkanie,1100000,77.0,14286.0,3,Targówek,Morizon,7/11/2023
mieszkanie,1299000,66.0,19537.0,3,Wilanów,Morizon,7/11/2023
mieszkanie,3000000,135.0,22222.0,5,Mokotów,Morizon,7/11/2023
mieszkanie,2750000,109.0,25091.0,3,Żoliborz,Morizon,7/11/2023
mieszkanie,1120000,81.0,13803.0,4,Włochy,Morizon,7/11/2023
mieszkanie,1300000,77.0,16740.0,4,Ochota,Morizon,7/11/2023
mieszkanie,880000,50.0,17485.0,2,Muranów,Morizon,7/11/2023
mieszkanie,2000000,104.0,19231.0,5,Wilanów,Morizon,7/11/2023
mieszkanie,929000,73.0,12593.0,6,Gocław,Morizon,7/11/2023
mieszkanie,1250000,47.0,26596.0,2,Śródmieście,Morizon,7/11/2023
mieszkanie,675000,40.0,16646.0,2,Wola,Morizon,7/11/2023
mieszkanie,1971156,106.0,18575.0,5,Ochota,Morizon,7/11/2023
mieszkanie,1650000,61.0,26829.0,2,Śródmieście,Morizon,7/11/2023
mieszkanie,1850283,77.0,23850.0,3,Stary Żoliborz,Morizon,7/11/2023
mieszkanie,819000,83.75,9779.1,4,Rembertów,Domiporta,8/11/2023
mieszkanie,749000,64.9,11540.83,3,Andersena,Domiporta,8/11/2023
mieszkanie,799000,51.62,15478.5,3,mokot,Domiporta,8/11/2023
mieszkanie,889000,49.48,17966.86,3,Wola,Domiporta,8/11/2023
mieszkanie,678600,39.0,17400.0,2,Mokotów,Domiporta,8/11/2023
mieszkanie,799000,62.3,12825.04,2,Ursynów,Domiporta,8/11/2023
mieszkanie,1490000,88.0,16931.82,3,Mokotów,Domiporta,8/11/2023
mieszkanie,1199000,127.0,9440.94,4,Ursynów,Domiporta,8/11/2023
mieszkanie,855000,42.92,19920.78,2,Mokotów,Domiporta,8/11/2023
mieszkanie,830000,40.75,20368.1,2,Mokotów,Domiporta,8/11/2023
mieszkanie,1100000,56.7,19400.35,2,Mokotów,Domiporta,8/11/2023
mieszkanie,720000,38.62,18643.19,2,Wola,Domiporta,8/11/2023
mieszkanie,1190000,58.94,20190.02,2,Żoliborz,Domiporta,8/11/2023
mieszkanie,2716000,170.0,15976.47,5,Mokotów,Domiporta,8/11/2023
mieszkanie,569000,46.8,12158.12,2,Bemowo,Domiporta,8/11/2023
mieszkanie,2500000,146.0,17123.29,5,Ochota,Domiporta,8/11/2023
mieszkanie,835000,66.5,12556.39,3,Włochy,Domiporta,8/11/2023
mieszkanie,800000,49.98,16006.4,2,Praga,Domiporta,8/11/2023
mieszkanie,1520000,75.85,20039.55,3,Żoliborz,Domiporta,8/11/2023
mieszkanie,575000,38.8,14819.59,2,Bielany,Domiporta,8/11/2023
mieszkanie,790000,49.87,15841.19,3,Mokotów,Domiporta,8/11/2023
mieszkanie,750000,37.0,20270.27,2,Mokotów,Domiporta,8/11/2023
mieszkanie,545000,21.0,25952.38,1,Wola,Domiporta,8/11/2023
mieszkanie,1450000,66.0,21969.7,3,Wola,Domiporta,8/11/2023
mieszkanie,1200000,63.05,19032.51,3,Wola,Domiporta,8/11/2023
mieszkanie,1640400,80.72,20322.1,4,Mokotów,Domiporta,8/11/2023
